timestamp,contact_1,contact_2,contact_3,contact_4
1742312577.9386466,1,1,1,1
1742312577.9398444,1,1,1,1
1742312577.9417984,1,1,1,1
1742312577.9438128,1,1,1,1
1742312577.945824,1,1,1,1
1742312577.9478467,1,1,1,1
1742312577.9498928,1,1,1,1
1742312577.9518201,1,1,1,1
1742312577.9539158,1,1,1,1
1742312577.9558296,1,1,1,1
1742312577.9578273,1,1,1,1
1742312577.95981,1,1,1,1
1742312577.9618216,1,1,1,1
1742312577.9638455,1,1,1,1
1742312577.9669816,1,1,1,1
1742312577.967943,1,1,1,1
1742312577.9698184,1,1,1,1
1742312577.971884,1,1,1,1
1742312577.9738271,1,1,1,1
1742312577.9758155,1,1,1,1
1742312577.9778202,1,1,1,1
1742312577.9798574,1,1,1,1
1742312577.9818416,1,1,1,1
1742312577.9838188,1,1,1,1
1742312577.985849,1,1,1,1
1742312577.9878473,1,1,1,1
1742312577.98993,1,1,1,1
1742312577.9918344,1,1,1,1
1742312577.9938445,1,1,1,1
1742312577.9958334,1,1,1,1
1742312577.9978175,1,1,1,1
1742312577.9998493,1,1,1,1
1742312578.0018196,1,1,1,1
1742312578.0038366,1,1,1,1
1742312578.0058188,1,1,1,1
1742312578.0078192,1,1,1,1
1742312578.0098145,1,1,1,1
1742312578.0118732,1,1,1,1
1742312578.0138247,1,1,1,1
1742312578.0158632,1,1,1,1
1742312578.0178337,1,1,1,1
1742312578.0198264,1,1,1,1
1742312578.0218337,1,1,1,1
1742312578.02383,1,1,1,1
1742312578.0258222,1,1,1,1
1742312578.0278008,1,1,1,1
1742312578.0298402,1,1,1,1
1742312578.0318584,1,1,1,1
1742312578.0338364,1,1,1,1
1742312578.0358036,1,1,1,1
1742312578.037816,1,1,1,1
1742312578.0398254,1,1,1,1
1742312578.0418313,1,1,1,1
1742312578.0438263,1,1,1,1
1742312578.045825,1,1,1,1
1742312578.0478456,1,1,1,1
1742312578.049809,1,1,1,1
1742312578.0518177,1,1,1,1
1742312578.0546997,1,1,1,1
1742312578.0558224,1,1,1,1
1742312578.057839,1,1,1,1
1742312578.05983,1,1,1,1
1742312578.0618262,1,1,1,1
1742312578.0638604,1,1,1,1
1742312578.0658307,1,1,1,1
1742312578.0678246,1,1,1,1
1742312578.0698357,1,1,1,1
1742312578.0718176,1,1,1,1
1742312578.0738366,1,1,1,1
1742312578.0758047,1,1,1,1
1742312578.0778358,1,1,1,1
1742312578.0798707,1,1,1,1
1742312578.081815,1,1,1,1
1742312578.0838277,1,1,1,1
1742312578.0858176,1,1,1,1
1742312578.0878139,1,1,1,1
1742312578.0898364,1,1,1,1
1742312578.091816,1,1,1,1
1742312578.0938435,1,1,1,1
1742312578.0958607,1,1,1,1
1742312578.0978394,1,1,1,1
1742312578.09983,1,1,1,1
1742312578.1018522,1,1,1,1
1742312578.103819,1,1,1,1
1742312578.1058085,1,1,1,1
1742312578.107866,1,1,1,1
1742312578.1098557,1,1,1,1
1742312578.1119058,1,1,1,1
1742312578.1138937,1,1,1,1
1742312578.1158638,1,1,1,1
1742312578.1179018,1,1,1,1
1742312578.1198666,1,1,1,1
1742312578.1218917,1,1,1,1
1742312578.1239104,1,1,1,1
1742312578.1258788,1,1,1,1
1742312578.1278553,1,1,1,1
1742312578.1299276,1,1,1,1
1742312578.1318605,1,1,1,1
1742312578.1338854,1,1,1,1
1742312578.135861,1,1,1,1
1742312578.137938,1,1,1,1
1742312578.139884,1,1,1,1
1742312578.1418798,1,1,1,1
1742312578.143855,1,1,1,1
1742312578.1468456,1,1,1,1
1742312578.1478634,1,1,1,1
1742312578.149905,1,1,1,1
1742312578.1518562,1,1,1,1
1742312578.1538932,1,1,1,1
1742312578.1558669,1,1,1,1
1742312578.157897,1,1,1,1
1742312578.1598728,1,1,1,1
1742312578.1619215,1,1,1,1
1742312578.1638799,1,1,1,1
1742312578.1659148,1,1,1,1
1742312578.1678674,1,1,1,1
1742312578.1698992,1,1,1,1
1742312578.171857,1,1,1,1
1742312578.1738555,1,1,1,1
1742312578.1758559,1,1,1,1
1742312578.1778986,1,1,1,1
1742312578.1798575,1,1,1,1
1742312578.181849,1,1,1,1
1742312578.183898,1,1,1,1
1742312578.1858096,1,1,1,1
1742312578.1878352,1,1,1,1
1742312578.1898541,1,1,1,1
1742312578.1918087,1,1,1,1
1742312578.1938214,1,1,1,1
1742312578.1958082,1,1,1,1
1742312578.1978276,1,1,1,1
1742312578.199969,1,1,1,1
1742312578.2018192,1,1,1,1
1742312578.2038844,1,1,1,1
1742312578.205825,1,1,1,1
1742312578.2078166,1,1,1,1
1742312578.2098324,1,1,1,1
1742312578.211819,1,1,1,1
1742312578.2138047,1,1,1,1
1742312578.2158136,1,1,1,1
1742312578.2178009,1,1,1,1
1742312578.219816,1,1,1,1
1742312578.221826,1,1,1,1
1742312578.2238328,1,1,1,1
1742312578.225839,1,1,1,1
1742312578.2278268,1,1,1,1
1742312578.2298472,1,1,1,1
1742312578.2318282,1,1,1,1
1742312578.2338238,1,1,1,1
1742312578.235825,1,1,1,1
1742312578.2378156,1,1,1,1
1742312578.2398093,1,1,1,1
1742312578.2418137,1,1,1,1
1742312578.2438219,1,1,1,1
1742312578.2458565,1,1,1,1
1742312578.252518,1,1,1,1
1742312578.2538161,1,1,1,1
1742312578.2558422,1,1,1,1
1742312578.257931,1,1,1,1
1742312578.2598279,1,1,1,1
1742312578.261814,1,1,1,1
1742312578.2638094,1,1,1,1
1742312578.265811,1,1,1,1
1742312578.267807,1,1,1,1
1742312578.2698207,1,1,1,1
1742312578.2718337,1,1,1,1
1742312578.27384,1,1,1,1
1742312578.275826,1,1,1,1
1742312578.2778113,1,1,1,1
1742312578.2798584,1,1,1,1
1742312578.281814,1,1,1,1
1742312578.2838123,1,1,1,1
1742312578.2858217,1,1,1,1
1742312578.287821,1,1,1,1
1742312578.2898333,1,1,1,1
1742312578.2918246,1,1,1,1
1742312578.2938378,1,1,1,1
1742312578.2958314,1,1,1,1
1742312578.2980368,1,1,1,1
1742312578.2998364,1,1,1,1
1742312578.301813,1,1,1,1
1742312578.3038194,1,1,1,1
1742312578.3058465,1,1,1,1
1742312578.308106,1,1,1,1
1742312578.310239,1,1,1,1
1742312578.3121397,1,1,1,1
1742312578.314148,1,1,1,1
1742312578.3159878,1,1,1,1
1742312578.318132,1,1,1,1
1742312578.3201313,1,1,1,1
1742312578.3221319,1,1,1,1
1742312578.3238318,1,1,1,1
1742312578.3258078,1,1,1,1
1742312578.3278172,1,1,1,1
1742312578.3298285,1,1,1,1
1742312578.3318222,1,1,1,1
1742312578.3415911,1,1,1,1
1742312578.341788,1,1,1,1
1742312578.341962,1,1,1,1
1742312578.3421361,1,1,1,1
1742312578.342215,1,1,1,1
1742312578.3437986,1,1,1,1
1742312578.345807,1,1,1,1
1742312578.3478408,1,1,1,1
1742312578.3498437,1,1,1,1
1742312578.3518384,1,1,1,1
