timestamp,contact_1,contact_2,contact_3,contact_4
1741274305.0681002,1,1,1,1
1741274305.069703,1,1,1,1
1741274305.0716903,1,1,1,1
1741274305.0737429,1,1,1,1
1741274305.0756974,1,1,1,1
1741274305.0776973,1,1,1,1
1741274305.0797534,1,1,1,1
1741274305.0816193,1,1,1,1
1741274305.0836067,1,1,1,1
1741274305.0856383,1,1,1,1
1741274305.0876188,1,1,1,1
1741274305.089627,1,1,1,1
1741274305.0916488,1,1,1,1
1741274305.0937748,1,1,1,1
1741274305.095624,1,1,1,1
1741274305.0976417,1,1,1,1
1741274305.0996225,1,1,1,1
1741274305.1016457,1,1,1,1
1741274305.1036806,1,1,1,1
1741274305.105637,1,1,1,1
1741274305.1076195,1,1,1,1
1741274305.109637,1,1,1,1
1741274305.111617,1,1,1,1
1741274305.1136527,1,1,1,1
1741274305.115757,1,1,1,1
1741274305.1176484,1,1,1,1
1741274305.1196234,1,1,1,1
1741274305.1216495,1,1,1,1
1741274305.1236815,1,1,1,1
1741274305.1256332,1,1,1,1
1741274305.1276174,1,1,1,1
1741274305.129619,1,1,1,1
1741274305.1316392,1,1,1,1
1741274305.1336193,1,1,1,1
1741274305.1356258,1,1,1,1
1741274305.13764,1,1,1,1
1741274305.1396227,1,1,1,1
1741274305.1425586,1,1,1,1
1741274305.1436396,1,1,1,1
1741274305.145651,1,1,1,1
1741274305.1476443,1,1,1,1
1741274305.1496408,1,1,1,1
1741274305.151621,1,1,1,1
1741274305.1536503,1,1,1,1
1741274305.155609,1,1,1,1
1741274305.1576328,1,1,1,1
1741274305.15961,1,1,1,1
1741274305.1616182,1,1,1,1
1741274305.1636264,1,1,1,1
1741274305.165717,1,1,1,1
1741274305.167652,1,1,1,1
1741274305.1696303,1,1,1,1
1741274305.1716416,1,1,1,1
1741274305.1736388,1,1,1,1
1741274305.175666,1,1,1,1
1741274305.1777034,1,1,1,1
1741274305.1796143,1,1,1,1
1741274305.181692,1,1,1,1
1741274305.1836092,1,1,1,1
1741274305.1856885,1,1,1,1
1741274305.1876292,1,1,1,1
1741274305.1896305,1,1,1,1
1741274305.191626,1,1,1,1
1741274305.193679,1,1,1,1
1741274305.19566,1,1,1,1
1741274305.197682,1,1,1,1
1741274305.1996472,1,1,1,1
1741274305.201673,1,1,1,1
1741274305.2036607,1,1,1,1
1741274305.205722,1,1,1,1
1741274305.2076738,1,1,1,1
1741274305.209624,1,1,1,1
1741274305.2116404,1,1,1,1
1741274305.213688,1,1,1,1
1741274305.2157989,1,1,1,1
1741274305.2176216,1,1,1,1
1741274305.2196162,1,1,1,1
1741274305.221609,1,1,1,1
1741274305.223784,1,1,1,1
1741274305.2256148,1,1,1,1
1741274305.2276332,1,1,1,1
1741274305.2296684,1,1,1,1
1741274305.231629,1,1,1,1
1741274305.233757,1,1,1,1
1741274305.235786,1,1,1,1
1741274305.2376149,1,1,1,1
1741274305.2396193,1,1,1,1
1741274305.2416146,1,1,1,1
1741274305.2436483,1,1,1,1
1741274305.2456114,1,1,1,1
1741274305.2476225,1,1,1,1
1741274305.2496178,1,1,1,1
1741274305.2516377,1,1,1,1
1741274305.253628,1,1,1,1
