timestamp,contact_1,contact_2,contact_3,contact_4
1742312693.8364918,18,44,56,16
1742312693.83852,18,45,56,16
1742312693.8405144,18,45,56,16
1742312693.8425002,18,45,57,16
1742312693.8444905,18,45,57,16
1742312693.8464942,18,46,56,16
1742312693.848505,18,46,56,16
1742312693.8504877,18,46,56,16
1742312693.8524778,18,46,56,16
1742312693.8544946,18,48,56,16
1742312693.8575795,18,48,56,16
1742312693.858475,18,48,56,16
1742312693.8604844,18,48,54,16
1742312693.8624926,18,48,54,16
1742312693.8644915,18,48,54,16
1742312693.8664918,18,49,53,16
1742312693.868488,18,49,53,16
1742312693.8704815,18,50,52,16
1742312693.8724751,18,50,52,16
1742312693.8744738,18,50,52,16
1742312693.876457,18,50,50,16
1742312693.8784616,18,50,50,16
1742312693.8805149,18,50,50,16
1742312693.882494,18,50,49,16
1742312693.8844767,18,50,49,16
1742312693.886492,18,50,49,16
1742312693.8884823,18,49,49,16
1742312693.8905144,18,49,49,16
1742312693.8924868,18,49,49,16
1742312693.8944936,18,49,48,16
1742312693.8965058,18,49,48,16
1742312693.8985064,18,49,48,16
1742312693.9009871,18,49,48,16
1742312693.902471,18,49,48,16
1742312693.9045029,18,49,48,16
1742312693.9064715,18,49,49,16
1742312693.9084623,18,48,49,16
1742312693.910466,18,48,49,16
1742312693.9124846,18,48,49,16
1742312693.9145434,18,48,49,16
1742312693.9180505,18,48,49,16
1742312693.9185116,18,48,49,16
1742312693.9204853,18,49,49,16
1742312693.9224863,18,49,49,16
1742312693.9244888,18,49,50,16
1742312693.92649,18,52,50,16
1742312693.9284728,18,52,50,16
1742312693.930499,18,52,50,16
1742312693.9324822,18,52,50,16
1742312693.9344666,18,52,50,16
1742312693.9364839,18,53,51,16
1742312693.9384797,18,53,51,16
1742312693.9404926,18,53,51,16
1742312693.942481,18,53,52,16
1742312693.9444978,18,53,52,16
1742312693.946496,18,53,52,16
1742312693.948507,18,53,52,16
1742312693.9504788,18,54,52,16
1742312693.9524732,18,54,52,16
1742312693.9544961,18,53,51,16
1742312693.956474,18,53,51,16
1742312693.9584901,18,53,51,16
1742312693.9605076,18,53,51,16
1742312693.9624815,18,53,50,16
1742312693.9644845,18,53,50,16
1742312693.966466,18,53,50,16
1742312693.9684691,18,53,50,16
1742312693.9705153,18,53,50,16
1742312693.9725115,18,53,48,16
1742312693.9744828,18,53,48,16
1742312693.9775212,18,50,47,16
1742312693.978481,18,50,47,16
1742312693.9805343,18,50,47,16
1742312693.982507,18,50,47,16
1742312693.9844842,44,50,52,17
1742312693.9864933,44,50,52,17
1742312693.988473,44,50,52,17
1742312693.9904718,69,50,54,48
1742312693.992577,69,50,54,48
1742312693.9944909,69,50,54,48
1742312693.9964917,70,50,52,64
1742312693.9985068,70,50,52,64
1742312694.0004885,70,50,52,64
1742312694.0024815,56,46,46,64
1742312694.0045192,56,46,46,64
1742312694.006493,56,46,46,64
1742312694.008494,52,36,30,54
1742312694.0104992,52,36,30,54
1742312694.0124803,52,36,30,54
1742312694.0145154,53,20,19,60
1742312694.016485,53,20,19,60
1742312694.0185,53,20,19,60
1742312694.0204837,53,20,19,60
1742312694.0224948,53,17,17,59
1742312694.0244849,53,17,17,59
1742312694.0264792,53,17,18,59
1742312694.036023,48,17,18,55
1742312694.036161,48,17,18,55
1742312694.0362573,48,17,18,55
1742312694.0363631,44,17,18,54
1742312694.0364478,44,17,18,54
1742312694.0385609,44,17,17,54
1742312694.0405362,45,17,17,52
1742312694.0425315,45,17,17,52
1742312694.0445025,44,17,18,52
1742312694.0465121,44,17,18,52
1742312694.0485842,44,17,18,52
1742312694.0504694,43,17,17,52
1742312694.0524657,43,17,17,52
1742312694.054472,43,17,17,52
1742312694.056483,42,17,18,52
1742312694.058542,42,17,18,52
1742312694.0604687,42,17,18,52
1742312694.0625498,42,17,18,52
1742312694.0644867,42,17,18,52
1742312694.0665007,42,17,18,52
1742312694.0685349,44,17,18,53
1742312694.0705152,44,17,18,53
1742312694.0724974,44,17,18,53
1742312694.0745041,46,17,18,53
1742312694.0764694,46,17,18,53
1742312694.0785155,46,17,18,53
1742312694.0805042,46,17,18,53
1742312694.082474,47,17,18,52
1742312694.0844681,47,17,18,52
1742312694.0864787,47,17,18,52
1742312694.0885515,49,17,18,52
1742312694.090483,49,17,18,52
1742312694.0924718,50,17,18,50
1742312694.094485,50,17,18,50
1742312694.096475,50,17,18,50
1742312694.0985594,50,17,18,50
1742312694.1004784,50,17,18,50
1742312694.1025488,52,17,18,50
1742312694.1046357,53,18,18,48
1742312694.1065044,53,18,18,48
1742312694.1097794,53,18,18,46
1742312694.1109686,54,18,18,46
1742312694.1125245,54,18,18,46
