timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_vel_x,angular_vel_y,angular_vel_z,linear_acc_x,linear_acc_y,linear_acc_z
1742312693.6315055,-0.93617725,-0.0016291856,-0.008594713,0.3514198,0.0447411,0.027696872,0.040480044,0.1340753,-0.020350715,10.346542
1742312693.633403,-0.9361938,-0.001647265,-0.008611944,0.35137516,0.0042610574,0.0053263213,0.03941478,0.1340753,-0.020350715,10.346542
1742312693.6353836,-0.9362071,-0.0016488079,-0.00860569,0.3513398,-0.0053263213,-0.015978964,0.026631609,0.49919105,0.5650316,10.443508
1742312693.637503,-0.93621355,-0.0016516863,-0.0085969055,0.35132286,-0.0074568503,-0.02450108,0.033023193,0.49919105,0.5650316,10.443508
1742312693.639308,-0.93624085,-0.0016308783,-0.008573014,0.35125047,-0.05006742,-0.020240022,0.04900216,0.34955344,0.04189853,9.629479
1742312693.641241,-0.93625945,-0.0016147592,-0.0085579585,0.3512016,-0.05219795,-0.026631609,0.051132686,0.34955344,0.04189853,9.629479
1742312693.6437616,-0.9362675,-0.0015976559,-0.008549501,0.35118064,-0.045806367,-0.03728425,0.04154531,0.34955344,0.04189853,9.629479
1742312693.6452148,-0.93629396,-0.0015514117,-0.008496499,0.35111105,-0.033023193,-0.055393744,0.045806367,0.39743748,0.062249243,9.562442
1742312693.6474173,-0.9363093,-0.0015205283,-0.008446067,0.35107142,-0.02450108,-0.06711165,0.036218986,0.39743748,0.062249243,9.562442
1742312693.6493518,-0.936315,-0.0014979219,-0.008433014,0.35105696,-0.05219795,-0.04900216,0.027696872,0.45130703,0.05267244,9.097966
1742312693.6512117,-0.9363316,-0.0014278202,-0.00837931,0.35101375,-0.03408846,-0.07030744,0.028762136,0.45130703,0.05267244,9.097966
1742312693.653264,-0.93634325,-0.0013858082,-0.0083306385,0.35098413,-0.029827401,-0.06924218,0.025566343,0.51235914,-0.41180268,8.7125
1742312693.655373,-0.9363545,-0.0013775574,-0.008277258,0.3509555,-0.0074568503,-0.063915856,0.030892665,0.51235914,-0.41180268,8.7125
1742312693.6571548,-0.9363691,-0.0013601996,-0.008222361,0.35091788,-0.009587379,-0.075633764,0.03728425,0.51235914,-0.41180268,8.7125
1742312693.6593668,-0.93637407,-0.0013594513,-0.008190711,0.3509058,0.0074568503,-0.06604639,0.02237055,0.61411273,-0.5793968,8.1079645
